 target objtype jd band frameid radius flux fluxerr PSmag instmag instmagerr elapsed_min
0 85952637084765674 ref 2460872.026283284 i gri1 8 86858.67227172849 260.60003135565813 15.149299621582031 -12.347032966046157 0.0032575087968048123 0.0017508119344711304
0 85952637084765674 ref 2460872.026283284 i gri1 9 89218.31680297849 281.17008438405935 15.149299621582031 -12.376135063906172 0.003421680112894488 0.0017508119344711304
0 85952637084765674 ref 2460872.026283284 i gri1 10 90895.5364331055 301.9121064700163 15.149299621582031 -12.39635639259651 0.0036063036482603264 0.0017508119344711304
0 85952637084765674 ref 2460872.026283284 i gri1 11 92153.9696594238 323.0489692457812 15.149299621582031 -12.411285119480526 0.0038060863044337926 0.0017508119344711304
0 85952637084765674 ref 2460872.026283284 i gri1 12 93297.67293334962 344.57639101185845 15.149299621582031 -12.42467702885154 0.004009950637179699 0.0017508119344711304
0 85952637084765674 ref 2460872.0486847195 g gri2 5 23507.762788085933 136.86331540510912 16.81920051574707 -10.928028249224385 0.006321207933656252 32.25981764495373
0 85952637084765674 ref 2460872.0486847195 g gri2 6 27037.51437499999 157.2133445116717 16.81920051574707 -11.079916908369976 0.0063131624320194105 32.25981764495373
0 85952637084765674 ref 2460872.0486847195 g gri2 7 29403.16132324218 176.6431952419707 16.81920051574707 -11.170985066798238 0.006522697008323552 32.25981764495373
0 85952637084765674 ref 2460872.0486847195 g gri2 8 30925.188164062496 195.58687590897307 16.81920051574707 -11.225780876926335 0.006866757001552596 32.25981764495373
0 85952637084765674 ref 2460872.0486847195 g gri2 9 31885.852646484367 214.52270562919153 16.81920051574707 -11.25899508692212 0.007304652343049835 32.25981764495373
0 85952637084765674 ref 2460872.0486847195 g gri2 10 32589.30135253906 233.59817665991025 16.81920051574707 -11.282687625465606 0.0077824926352828925 32.25981764495373
0 85952637084765674 ref 2460872.0486847195 g gri2 11 33158.93090332034 252.87402721781737 16.81920051574707 -11.301501299397533 0.008279955930843498 32.25981764495373
0 85952637084765674 ref 2460872.0486847195 g gri2 12 33587.93524902342 272.2728870280319 16.81920051574707 -11.315458268199219 0.008801271314495268 32.25981764495373
0 85952637084765674 ref 2460872.048682316 r gri2 5 47592.89775878906 177.6048066545547 15.733200073242188 -11.69385537054591 0.0040516963203466 32.25635692477226
0 85952637084765674 ref 2460872.048682316 r gri2 6 54165.806450195305 201.6174554357462 15.733200073242188 -11.834313033861928 0.004041357181288844 32.25635692477226
0 85952637084765674 ref 2460872.048682316 r gri2 7 58495.46828125003 224.17972964901665 15.733200073242188 -11.917805555090908 0.004161006929332431 32.25635692477226
0 85952637084765674 ref 2460872.048682316 r gri2 8 61250.22539550783 246.17699715204608 15.733200073242188 -11.967769228013678 0.004363792571548941 32.25635692477226
0 85952637084765674 ref 2460872.048682316 r gri2 9 63029.379790039064 268.1810368554222 15.733200073242188 -11.998857584207467 0.004619652963640969 32.25635692477226
0 85952637084765674 ref 2460872.048682316 r gri2 10 64230.5008203125 290.3358678424049 15.733200073242188 -12.01935327080865 0.004907764367869939 32.25635692477226
0 85952637084765674 ref 2460872.048682316 r gri2 11 65146.162568359396 312.76537772213265 15.733200073242188 -12.034722096765023 0.005212597040254538 32.25635692477226
0 85952637084765674 ref 2460872.048682316 r gri2 12 65992.13483398437 335.4978100002044 15.733200073242188 -12.04873044484918 0.0055197808019191354 32.25635692477226
0 85952637084765674 ref 2460872.0486835036 i gri2 5 67816.36626586916 192.6478118690375 15.149299621582031 -12.078336289284906 0.003084280618835161 32.25806683301926
0 85952637084765674 ref 2460872.0486835036 i gri2 6 76591.67087646486 215.57398071590754 15.149299621582031 -12.210453859816877 0.003055899851624893 32.25806683301926
0 85952637084765674 ref 2460872.0486835036 i gri2 7 82256.80280761722 236.5731809140146 15.149299621582031 -12.287929562896604 0.003122611854898826 32.25806683301926
0 85952637084765674 ref 2460872.0486835036 i gri2 8 85826.72258544924 256.6927363744236 15.149299621582031 -12.334056321734352 0.0032472473488973194 32.25806683301926
0 85952637084765674 ref 2460872.0486835036 i gri2 9 88132.35561401366 276.6797292140923 15.149299621582031 -12.362838445403327 0.0034085234308959015 32.25806683301926
0 85952637084765674 ref 2460872.0486835036 i gri2 10 89799.86341674805 296.8376667527875 15.149299621582031 -12.383189190293045 0.003588952025837068 32.25806683301926
0 85952637084765674 ref 2460872.0486835036 i gri2 11 91073.85601440431 317.43785781955347 15.149299621582031 -12.398484311855926 0.00378433273914571 32.25806683301926
0 85952637084765674 ref 2460872.0486835036 i gri2 12 92177.47997192382 338.4765453849294 15.149299621582031 -12.411562077076812 0.003986833225401812 32.25806683301926
0 85952637084765674 ref 2460872.071512806 g gri3 5 21364.32135742188 140.45401123084145 16.81920051574707 -10.824222754770716 0.007137882011115367 65.13226255774498
0 85952637084765674 ref 2460872.071512806 g gri3 6 24923.64095214844 162.69803544390047 16.81920051574707 -10.991528715546057 0.007087533794264396 65.13226255774498
0 85952637084765674 ref 2460872.071512806 g gri3 7 27475.053012695316 184.08628532938147 16.81920051574707 -11.097346347652273 0.007274568121458831 65.13226255774498
0 85952637084765674 ref 2460872.071512806 g gri3 8 29187.087885742196 205.05535431222623 16.81920051574707 -11.162976914564622 0.007627894328746894 65.13226255774498
0 85952637084765674 ref 2460872.071512806 g gri3 9 30392.574956054676 225.9677134521356 16.81920051574707 -11.206918741136993 0.008072410052657233 65.13226255774498
0 85952637084765674 ref 2460872.071512806 g gri3 10 31163.381796875008 246.82116197056655 16.81920051574707 -11.234111451130062 0.0085992808289756 65.13226255774498
