 target objtype jd band frameid radius flux fluxerr instmag instmagerr elapsed_min
23 Popescu ref 2460872.042421835 i gri1 12 42630.33650268555 300.2919504559293 -11.574296901913554 0.007648024138559115 2.8722120076417923
24 Popescu ref 2460872.064877849 g gri2 5 29329.271132812497 189.41880617319939 -11.168253175953701 0.007012068414281928 35.20887225866318
25 Popescu ref 2460872.064877849 g gri2 6 32630.982690429686 220.21031673515733 -11.284075382186874 0.007327095104945704 35.20887225866318
26 Popescu ref 2460872.064877849 g gri2 7 34681.71077148437 250.58728818728602 -11.350251280278197 0.007844817489822199 35.20887225866318
27 Popescu ref 2460872.064877849 g gri2 8 35924.95669921875 280.87641421279073 -11.388490633365576 0.008488742088869369 35.20887225866318
28 Popescu ref 2460872.064877849 g gri2 9 36953.87380859375 311.5492941293978 -11.41914992858036 0.0091535829221905 35.20887225866318
29 Popescu ref 2460872.064877849 g gri2 10 37609.823393554674 342.3867227190434 -11.438253235218802 0.009884163958830364 35.20887225866318
30 Popescu ref 2460872.064877849 g gri2 11 37991.78547363281 373.2314923605033 -11.449224260678395 0.010666277958769413 35.20887225866318
31 Popescu ref 2460872.064877849 g gri2 12 38363.162802734376 404.47066672791846 -11.459786012093245 0.01144713872751544 35.20887225866318
32 Popescu ref 2460872.064877849 r gri2 5 34228.94399414062 191.543572343739 -11.335983752037508 0.006075729105692111 35.20887225866318
33 Popescu ref 2460872.064877849 r gri2 6 37554.680683593746 221.07125953133638 -11.436660184134144 0.006391348985947062 35.20887225866318
34 Popescu ref 2460872.064877849 r gri2 7 39461.52333984375 250.36412357316416 -11.490434615957344 0.006888466798276392 35.20887225866318
35 Popescu ref 2460872.064877849 r gri2 8 40680.12690429687 279.7703063049359 -11.523455747656628 0.00746695680881605 35.20887225866318
36 Popescu ref 2460872.064877849 r gri2 9 41493.5452001953 309.47241634477126 -11.544951356119554 0.008097775332967166 35.20887225866318
37 Popescu ref 2460872.064877849 r gri2 10 42190.354287109374 339.4206470378304 -11.563032930798302 0.008734728384207923 35.20887225866318
38 Popescu ref 2460872.064877849 r gri2 11 42629.24512695314 369.61339796864286 -11.574269105714627 0.009413787336442872 35.20887225866318
39 Popescu ref 2460872.064877849 r gri2 12 42847.165263671886 399.9302037337013 -11.579805236530847 0.010134129035092273 35.20887225866318
40 Popescu ref 2460872.0648791287 i gri2 5 32479.721520996092 166.44189061549426 -11.279030742431681 0.005563840395393032 35.21071493625641
41 Popescu ref 2460872.0648791287 i gri2 6 35416.399257812496 189.95352130921873 -11.373011012268254 0.005823274517700139 35.21071493625641
42 Popescu ref 2460872.0648791287 i gri2 7 37073.5541381836 213.08995570512496 -11.422660556563734 0.006240553007597227 35.21071493625641
43 Popescu ref 2460872.0648791287 i gri2 8 38368.14922851564 236.4633612997638 -11.459927126401535 0.006691405179146513 35.21071493625641
44 Popescu ref 2460872.0648791287 i gri2 9 39401.64659545899 260.20672542198827 -11.488785928445875 0.007170153709890135 35.21071493625641
45 Popescu ref 2460872.0648791287 i gri2 10 40160.92158813479 284.1593021701143 -11.509509175435115 0.007682145480845953 35.21071493625641
46 Popescu ref 2460872.0648791287 i gri2 11 40705.8433557129 308.3603188918604 -11.52414189253394 0.008224813312574877 35.21071493625641
47 Popescu ref 2460872.0648791287 i gri2 12 41013.8963696289 332.6540830308755 -11.532327574367674 0.008806151416393857 35.21071493625641
48 Popescu ref 2460872.040429648 g grz1 5 30484.952314453127 181.00966193781966 -11.210213800052543 0.006446745966656628 0.0034627318382263184
49 Popescu ref 2460872.040429648 g grz1 6 33918.90455078124 209.42869060510242 -11.326104544454525 0.006703763423863616 0.0034627318382263184
50 Popescu ref 2460872.040429648 g grz1 7 36060.71555664062 237.29022393337016 -11.3925858505595 0.007144466857707161 0.0034627318382263184
51 Popescu ref 2460872.040429648 g grz1 8 37384.726801757824 265.0470567466069 -11.431735528196844 0.007697560209557092 0.0034627318382263184
52 Popescu ref 2460872.040429648 g grz1 9 38179.95587890625 293.01115600873106 -11.45458855545851 0.008332456472336434 0.0034627318382263184
53 Popescu ref 2460872.040429648 g grz1 10 38678.07567871092 321.2307105686424 -11.468662147052072 0.00901730001879398 0.0034627318382263184
54 Popescu ref 2460872.040429648 g grz1 11 39230.78854003906 349.74577610318363 -11.484067593873801 0.0096794294916836 0.0034627318382263184
55 Popescu ref 2460872.040429648 g grz1 12 39950.166225585934 378.6299729563131 -11.503796476691017 0.010290126642376225 0.0034627318382263184
56 Popescu ref 2460872.0404272433 r grz1 5 34854.10262695313 190.65328372715553 -11.355634764074985 0.005939018855660381 0.0
57 Popescu ref 2460872.0404272433 r grz1 6 38513.397338867195 220.03908469713335 -11.464029575604176 0.006203150519687317 0.0
58 Popescu ref 2460872.0404272433 r grz1 7 40642.737109375004 249.0273076749914 -11.522457370204284 0.00665255303028822 0.0
