 target objtype jd band frameid radius flux fluxerr instmag instmagerr elapsed_min
178 3I ref 2460872.035035426 r grz1 7 32099.383715820306 207.90569138827672 -11.266241735888515 0.0070322451768527324 12.604834735393524
179 3I ref 2460872.035035426 r grz1 8 36993.916123046874 234.03512630466764 -11.420325768853978 0.006868708059156167 12.604834735393524
180 3I ref 2460872.035035426 r grz1 9 41652.60354492188 259.9841799996639 -11.549105381695204 0.006776868979764009 12.604834735393524
181 3I ref 2460872.035035426 r grz1 10 46182.333701171876 285.82002804385417 -11.661189687625118 0.006719564119478914 12.604834735393524
182 3I ref 2460872.035035426 r grz1 11 50611.399252929696 311.62659195210887 -11.760620861026647 0.006685139676872449 12.604834735393524
183 3I ref 2460872.035035426 r grz1 12 54804.30081054686 337.306126080519 -11.84703660355568 0.006682422141253762 12.604834735393524
184 3I ref 2460872.03503663 z grz1 5 15955.042286376955 133.6898413539104 -10.507244898903867 0.009097556644537855 12.606568783521652
185 3I ref 2460872.03503663 z grz1 6 19706.699615478516 156.9603809492833 -10.7365347419767 0.008647697059096165 12.606568783521652
186 3I ref 2460872.03503663 z grz1 7 23335.889035644537 179.9339645467011 -10.92006087751831 0.00837168960975149 12.606568783521652
187 3I ref 2460872.03503663 z grz1 8 26801.39632446289 202.7250199983146 -11.070393552255934 0.008212478602153465 12.606568783521652
188 3I ref 2460872.03503663 z grz1 9 30120.16436523438 225.28792724952666 -11.197143343682177 0.008120913821840072 12.606568783521652
189 3I ref 2460872.03503663 z grz1 10 33349.731467285164 247.71084896472385 -11.307730853296654 0.008064491832451545 12.606568783521652
190 3I ref 2460872.03503663 z grz1 11 36466.656999511724 270.0378770572249 -11.404739880370382 0.008039944538403381 12.606568783521652
191 3I ref 2460872.03503663 z grz1 12 39398.0601501465 292.3478891725226 -11.488687097277952 0.008056556247936098 12.606568783521652
192 3I ref 2460872.057324158 g grz2 5 5569.332719726563 113.88698280085008 -9.364507910061494 0.022202160779437187 44.700609147548676
193 3I ref 2460872.057324158 g grz2 6 6515.587001953126 134.7287174008588 -9.53488387062232 0.02245075482207357 44.700609147548676
194 3I ref 2460872.057324158 g grz2 7 7058.315781250001 155.20892259439663 -9.621752710784772 0.0238748097683432 44.700609147548676
195 3I ref 2460872.057324158 g grz2 8 7390.254829101565 175.5730120103506 -9.671648534743678 0.025794235804619203 44.700609147548676
196 3I ref 2460872.057324158 g grz2 9 7517.603979492189 195.96321902451294 -9.690198609359852 0.02830215082841234 44.700609147548676
197 3I ref 2460872.057324158 g grz2 10 7563.1883544921875 216.41464531981882 -9.696762290623353 0.03106748168238542 44.700609147548676
198 3I ref 2460872.057324158 g grz2 11 7424.4970263671885 236.80359530597767 -9.67666759410707 0.034629448422904746 44.700609147548676
199 3I ref 2460872.057324158 g grz2 12 7143.736533203124 257.2490132255152 -9.634813572607856 0.039097825906523116 44.700609147548676
200 3I ref 2460872.0573216407 r grz2 5 6683.252758789063 133.94532923835806 -9.562469715831659 0.02176025636933763 44.69698414206505
201 3I ref 2460872.0573216407 r grz2 6 7644.260048828124 158.66439736760336 -9.708338632067475 0.022535559953189493 44.69698414206505
202 3I ref 2460872.0573216407 r grz2 7 8213.970341796876 183.22972037214103 -9.78638282603075 0.024219607926198344 44.69698414206505
203 3I ref 2460872.0573216407 r grz2 8 8517.489399414066 207.54580424469788 -9.825779004329215 0.026456151953604255 44.69698414206505
204 3I ref 2460872.0573216407 r grz2 9 8582.591455078129 231.88369609309308 -9.834046099782528 0.029334324656970466 44.69698414206505
205 3I ref 2460872.0573216407 r grz2 10 8486.450341796874 256.28737386243216 -9.821815185760062 0.032788795010601286 44.69698414206505
206 3I ref 2460872.0573216407 r grz2 11 8186.0456347656245 280.6571323184643 -9.782685403445877 0.037224274488236966 44.69698414206505
207 3I ref 2460872.0573216407 r grz2 12 7882.317993164061 305.18954336969375 -9.74163487862372 0.04203780370665656 44.69698414206505
208 3I ref 2460872.057322934 z grz2 5 5266.592385253907 120.70697637126867 -9.30382426718413 0.02488438915077574 44.69884626567364
209 3I ref 2460872.057322934 z grz2 6 5863.265043945314 142.87674936615863 -9.420348816359661 0.026457350715397475 44.69884626567364
210 3I ref 2460872.057322934 z grz2 7 6153.564960937499 164.81972806308434 -9.472816974114528 0.02908082504246724 44.69884626567364
211 3I ref 2460872.057322934 z grz2 8 6192.966298828124 186.66546890165154 -9.479746791630257 0.03272574853233519 44.69884626567364
212 3I ref 2460872.057322934 z grz2 9 6050.02232055664 208.57749353886135 -9.454392442282701 0.03743128937944329 44.69884626567364
